compounds	concentration	minFlux	maxFlux	Name	Formula	Charge	Compartment
cpd00001	0.01	-1000	1000	H2O_e0	H2O	0	Extracellular_0
cpd00007	0.01	-1000	0	O2_e0	O2	0	Extracellular_0
cpd00009	0.01	-1000	1000	Phosphate_e0	HO4P	-2	Extracellular_0
cpd00011	0.01	0	1000	CO2_e0	CO2	0	Extracellular_0
cpd00012	0.01	-1000	1000	PPi_e0	HO7P2	-3	Extracellular_0
cpd00013	0.01	-1000	1000	NH3_e0	H4N	1	Extracellular_0
cpd00023	0.01	-1000	1000	L-Glutamate_e0	C5H8NO4	-1	Extracellular_0
cpd00024	0.01	-1000	1000	2-Oxoglutarate_e0	C5H4O5	-2	Extracellular_0
cpd00027	0.01	-1000	1000	D-Glucose_e0	C6H12O6	0	Extracellular_0
cpd00028	0.01	-1000	1000	Heme_e0	C34H30FeN4O4	-2	Extracellular_0
cpd00029	0.01	-1000	1000	Acetic_acid_e0	C2H3O2	-1	Extracellular_0
cpd00030	0.01	-1000	1000	Mn2+_e0	Mn	2	Extracellular_0
cpd00033	0.01	-1000	1000	Glycine_e0	C2H5NO2	0	Extracellular_0
cpd00034	0.01	-1000	1000	Zn2+_e0	Zn	2	Extracellular_0
cpd00035	0.01	-1000	1000	L-Alanine_e0	C3H7NO2	0	Extracellular_0
cpd00036	0.01	-1000	1000	Succinate_e0	C4H4O4	-2	Extracellular_0
cpd00039	0.01	-1000	1000	L-Lysine_e0	C6H15N2O2	1	Extracellular_0
cpd00041	0.01	-1000	1000	L-Aspartate_e0	C4H6NO4	-1	Extracellular_0
cpd00048	0.01	-1000	1000	Sulfate_e0	O4S	-2	Extracellular_0
cpd00051	0.01	-1000	1000	L-Arginine_e0	C6H15N4O2	1	Extracellular_0
cpd00054	0.01	-1000	1000	L-Serine_e0	C3H7NO3	0	Extracellular_0
cpd00058	0.01	-1000	1000	Cu2+_e0	Cu	2	Extracellular_0
cpd00060	0.01	-1000	1000	L-Methionine_e0	C5H11NO2S	0	Extracellular_0
cpd00063	0.01	-1000	1000	Ca2+_e0	Ca	2	Extracellular_0
cpd00064	0.01	-1000	1000	Ornithine_e0	C5H13N2O2	1	Extracellular_0
cpd00065	0.01	-1000	1000	L-Tryptophan_e0	C11H12N2O2	0	Extracellular_0
cpd00066	0.01	-1000	1000	L-Phenylalanine_e0	C9H11NO2	0	Extracellular_0
cpd00067	0.01	-1000	1000	H+_e0	H	1	Extracellular_0
cpd00069	0.01	-1000	1000	L-Tyrosine_e0	C9H11NO3	0	Extracellular_0
cpd00073	0.01	-1000	1000	Urea_e0	CH4N2O	0	Extracellular_0
cpd00076	0.01	-1000	1000	Sucrose_e0	C12H22O11	0	Extracellular_0
cpd00080	0.01	-1000	1000	Glycerol-3-phosphate_e0	C3H7O6P	-2	Extracellular_0
cpd00082	0.01	-1000	1000	D-Fructose_e0	C6H12O6	0	Extracellular_0
cpd00092	0.01	-1000	1000	Uracil_e0	C4H4N2O2	0	Extracellular_0
cpd00098	0.01	-1000	1000	Choline_e0	C5H14NO	1	Extracellular_0
cpd00099	0.01	-1000	1000	Cl-_e0	Cl	-1	Extracellular_0
cpd00100	0.01	-1000	1000	Glycerol_e0	C3H8O3	0	Extracellular_0
cpd00106	0.01	-1000	1000	Fumarate_e0	C4H2O4	-2	Extracellular_0
cpd00108	0.01	-1000	1000	Galactose_e0	C6H12O6	0	Extracellular_0
cpd00117	0.01	-1000	1000	D-Alanine_e0	C3H7NO2	0	Extracellular_0
cpd00122	0.01	-1000	1000	N-Acetyl-D-glucosamine_e0	C8H15NO6	0	Extracellular_0
cpd00129	0.01	-1000	1000	L-Proline_e0	C5H9NO2	0	Extracellular_0
cpd00130	0.01	-1000	1000	L-Malate_e0	C4H4O5	-2	Extracellular_0
cpd00132	0.01	-1000	1000	L-Asparagine_e0	C4H8N2O3	0	Extracellular_0
cpd00137	0.01	-1000	1000	Citrate_e0	C6H5O7	-3	Extracellular_0
cpd00138	0.01	-1000	1000	D-Mannose_e0	C6H12O6	0	Extracellular_0
cpd00149	0.01	-1000	1000	Co2+_e0	Co	2	Extracellular_0
cpd00154	0.01	-1000	1000	Xylose_e0	C5H10O5	0	Extracellular_0
cpd00164	0.01	-1000	1000	Glucuronate_e0	C6H9O7	-1	Extracellular_0
cpd00179	0.01	-1000	1000	Maltose_e0	C12H22O11	0	Extracellular_0
cpd00182	0.01	-1000	1000	Adenosine_e0	C10H13N5O4	0	Extracellular_0
cpd00184	0.01	-1000	1000	Thymidine_e0	C10H14N2O5	0	Extracellular_0
cpd00205	0.01	-1000	1000	K+_e0	K	1	Extracellular_0
cpd00214	0.01	-1000	1000	Palmitate_e0	C16H31O2	-1	Extracellular_0
